Année;Collectivité;Type de contrat;Emplois;Niveau;Spécialité
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;bucheron-élagueur
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;jardinier
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE;mécanicien spécialiste en automobile
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES EAU ET ASSAINISSEMENT;ADJOINT TECHNIQUE EAU ASSAINISSEMENT PRINCIPAL 1ERE CLASSE;désinfection
2015;COMMUNE;TEMPS COMPLET;AGENTS DE MENAGE CONTRACTUELS;AGENT DE MENAGE;
2015;COMMUNE;TEMPS COMPLET;AGENTS DE MENAGE CONTRACTUELS;AGENT DE MENAGE SPECIALISE;
2015;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES CONTRACTUELS CATEGORIE I;AGENT TECHNIQUE CONTRACTUEL CATEGORIE  1;
2015;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES DE LA PETITE ENFANCE;AGENT TECHNIQUE DE LA PETITE ENFANCE 2EME CLASSE;service intérieur
2015;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES DES ECOLES;AGENT TECHNIQUE DES ECOLES DE 2EME CLASSE;
2015;COMMUNE;TEMPS COMPLET;PERSONNELS DE MAITRISE  D'ADMINISTRATIONS PARISIENNES;AGENT DE MAITRISE;électronique
2015;COMMUNE;TEMPS COMPLET;PROFESSEURS CERTIFIES ECOLE DU BREUIL;PROFESSEUR CERTIFIE ECOLE DU BREUIL DE CLASSE NORMALE;
2015;COMMUNE;TEMPS COMPLET;AGENTS D'ACCUEIL ET DE SURVEILLANCE;AGENT D ACCUEIL ET DE SURVEILLANCE DE 2EME CLASSE;accueil et surveillance
2015;COMMUNE;TEMPS INCOMPLET;PROFESSEURS DE CONSERVATOIRE CONTRACTUELS;PROFESSEUR  CONTRACTUEL DES  CONSERVATOIRES VILLE DE PARIS;
2015;DEPARTEMENT;TEMPS COMPLET;ANIMATEURS TITRE IV;ANIMATEUR TITRE IV;
2015;DEPARTEMENT;TEMPS COMPLET;PERSONNELS OUVRIERS TITRE IV;MAITRE OUVRIER TITRE IV;
2015;DEPARTEMENT;TEMPS INCOMPLET;PERSONNELS PARAMEDICAUX MEDICO-TECHNIQUES D'ADMINISTRATIONS  PARISIENNES;PERSONNELS PARAMEDICAUX  D'ADMINISTRATIONS  PARISIENNES;
2015;DEPARTEMENT;TEMPS INCOMPLET;PERSONNELS OUVRIERS TITRE IV;AGENT D'ENTRETIEN QUALIFIE TITRE IV;
2013;COMMUNE;TEMPS INCOMPLET;AGENTS CONTRACTUELS DES BIBLIOTHEQUES;AGENT CONTRACTUEL DES BIBLIOTHEQUES;
2013;COMMUNE;TEMPS INCOMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;
2013;COMMUNE;TEMPS INCOMPLET;FORMATEURS CONTRACTUELS DE LA VILLE DE PARIS;FORMATEUR CONTRACTUEL DE LA VILLE DE PARIS;
2013;COMMUNE;TEMPS COMPLET;AGENTS ADMINISTRATIFS CONTRACTUELS;AGENT ADMINISTRATIF CONTRACTUEL;
2013;COMMUNE;TEMPS COMPLET;CHARGES DE MISSION CADRES MOYENS;CHARGE DE MISSION CADRE MOYEN;
2013;COMMUNE;TEMPS COMPLET;ANIMATEURS A TEMPS NON COMPLET;ANIMATEUR CONTRACTUEL TEMPS NON COMPLET;activités périscolaires
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 1ERE CLASSE;maintenance des bâtiments
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE;jardinier
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE;manipulateur des laboratoires
2013;COMMUNE;TEMPS COMPLET;PERSONNELS  DE SERVICE ETABLISSEMENTS D'ENSEIGNEMENT;SURVEILLANT DES ELEVES ECOLE DU BREUIL;
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR  EN CHEF;prévention des risques professionnels
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;constructions et bâtiment
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;informatique
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;prévention des risques professionnels
2013;DEPARTEMENT;TEMPS COMPLET;MEDECINS CONTRACTUELS;MEDECIN CONTRACTUEL;chirurgien-dentiste
2013;DEPARTEMENT;TEMPS COMPLET;SECRETAIRES MEDICAUX ET SOCIAUX;SECRETAIRE MEDICAL ET SOCIAL DE CLASSE NORMALE;assistant dentaire
2013;DEPARTEMENT;TEMPS COMPLET;INFIRMIERS EN SOINS GENERAUX T.IV;INFIRMIER(E) SOINS GENERAUX 1ER GRADE T.IV;
2013;DEPARTEMENT;TEMPS COMPLET;PERSONNELS OUVRIERS T.IV;AGENT D'ENTRETIEN QUALIFIE T.IV;
2013;COMMUNE;TEMPS INCOMPLET;ADJOINTS ADMINISTRATIFS;ADJOINT ADMINISTRATIF CONTRACTUEL TEMPS NON COMPLET;
2013;COMMUNE;TEMPS INCOMPLET;ADJOINTS D'ANIMATION ET D'ACTION SPORTIVE;ADJOINT ANIMATION ET ACTION SPORTIVE CONTRACTUEL;
2013;COMMUNE;TEMPS INCOMPLET;ACCOMPAGNATEURS DE MUSIQUE DES CONSERVATOIRES;ACCOMPAGNATEUR MUSICAL CONTRACTUEL CONSERVATOIRES;
2013;COMMUNE;TEMPS INCOMPLET;ANIMATEURS A TEMPS NON COMPLET;ANIMATEUR CONTRACTUEL;
2013;COMMUNE;TEMPS COMPLET;ADJOINTS ACCUEIL SURVEILLANCE ET MAGASINAGE;ADJOINT ACCUEIL SURVEILLANCE MAGASINAGE PRINCIPAL DE 2EME CLASSE;sécurité incendie
2013;COMMUNE;TEMPS COMPLET;PROFESSEURS ATELIERS DES BEAUX ARTS VDP;PROFESSEUR  ATELIERS  BEAUX ARTS VILLE DE PARIS;
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 1ERE CLASSE;bucheron-élagueur
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;installations sportives
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;jardinier
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;peintre spécialiste en automobile
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE;manipulateur des laboratoires
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES EAU ET ASSAINISSEMENT;ADJOINT TECHNIQUE EAU ASSAINISSEMENT PRINCIPAL 1ERE CLASSE;désinfection
2013;COMMUNE;TEMPS COMPLET;AGENTS DE LOGISTIQUE GENERALE;AGENT DE LOGISTIQUE GENERALE DE 2EME CLASSE;concierge
2013;COMMUNE;TEMPS COMPLET;DESSINATEURS;DESSINATEUR;
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;génie urbain
2013;COMMUNE;TEMPS COMPLET;AGENTS D'ACCUEIL ET DE SURVEILLANCE;AGENT D ACCUEIL ET DE SURVEILLANCE DE 2EME CLASSE;accueil et surveillance
2013;DEPARTEMENT;TEMPS COMPLET;ADJOINTS TECHNIQUES DES COLLEGES;ADJOINT TECHNIQUE DES COLLEGES DE 2EME CLASSE;
2013;DEPARTEMENT;TEMPS COMPLET;AGENTS DE LOGISTIQUE GENERALE;AGENT DE LOGISTIQUE GENERALE DE 2EME CLASSE;
